TRNAR-UCG	n-TRtcg4	97.260	73	2	0	1	73	1	73	1.72e-28	124
PCDH11X	Pcdh11x	70.585	1642	451	30	1148	2773	1111	2736	1.98e-87	327
TRNAL-CAA	n-TLcaa1	98.810	84	1	0	1	84	1	84	3.46e-36	150
SLC1A5	Slc1a5	79.284	782	159	3	712	1491	1364	2144	4.88e-153	544
ERCC2	Ercc2	75.738	2271	515	31	157	2409	29	2281	0.0	1109
SYMPK	Sympk	76.959	1276	278	14	2102	3369	2220	3487	0.0	713
SYMPK	Sympk	75.111	900	212	12	226	1119	344	1237	8.93e-113	411
TRNAH-GUG_2	n-THgtg5	97.222	72	2	0	1	72	1	72	6.05e-28	122
TRNAH-GUG_3	n-THgtg5	97.222	72	2	0	1	72	1	72	6.05e-28	122
RPS18	Gm12468	76.329	414	81	9	101	510	85	485	6.35e-52	206
BRD2	Brd3	76.623	231	40	6	1469	1698	1986	2203	9.39e-24	115
LOC138661567	Zfp473	89.286	56	4	2	829	883	3624	3678	4.64e-10	69.4
LOC138666187	Olfr1406	83.784	74	9	3	123	194	188	260	5.41e-10	67.6
LOC138666189	Olfr367-ps	90.476	42	4	0	148	189	315	356	1.15e-06	56.5
LOC138666190	Olfr1301	87.273	55	3	3	351	403	357	409	9.83e-08	60.2
LOC138666191	Olfr1299	100.000	30	0	0	352	381	415	444	1.20e-06	56.5
LOC138666193	Olfr1299	100.000	30	0	0	352	381	415	444	1.20e-06	56.5
LOC138666194	Olfr1299	100.000	30	0	0	352	381	415	444	1.16e-06	56.5
TRNAK-CUU_1	n-TKctt14	100.000	73	0	0	1	73	1	73	7.94e-32	135
TUBB	Tubb2b	83.424	1291	214	0	208	1498	120	1410	0.0	1199
LOC138661638	Hspa2	75.433	1848	420	29	101	1928	182	2015	0.0	867
LOC138666207	Hspa2	76.552	1595	348	22	120	1698	182	1766	0.0	850
TRNAR-UCG_1	n-TRtcg4	98.630	73	1	0	1	73	1	73	3.69e-30	130
LOC138666211	Olfr165	83.824	68	11	0	323	390	509	576	1.93e-09	65.8
PAF1	Paf1	80.259	1236	232	11	74	1302	213	1443	0.0	920
PAK4	Pak4	78.626	917	192	4	1177	2091	1297	2211	4.65e-171	604
HNRNPL	Hnrnpl	78.333	900	164	23	781	1668	2560	3440	6.95e-156	553
LOC138661699	Ech1	73.785	782	181	21	529	1298	232	1001	2.61e-75	287
LOC138661698	Ech1	75.323	774	175	14	222	987	232	997	4.11e-97	357
LOC138661700	Ech1	75.296	761	173	13	251	1003	232	985	7.02e-95	350
CLIP3	Clip3	74.369	1545	350	37	295	1812	325	1850	7.37e-175	617
RYR1	Ryr1	76.039	5413	1185	84	7601	12951	7724	13086	0.0	2708
RYR1	Ryr1	80.433	1155	214	9	14168	15316	14270	15418	0.0	870
LOC138661719	Slc8a1	75.545	871	200	12	2189	3053	2867	3730	3.16e-114	416
BCKDHA	Bckdha	78.026	1074	231	5	243	1314	269	1339	0.0	671
SPTBN4	Sptb	72.348	1367	350	24	305	1657	782	2134	8.65e-111	405
CLASRP	Clasrp	80.216	278	55	0	207	484	168	445	3.79e-52	209
TRNAE-CUC_1	n-TEctc11	100.000	72	0	0	1	72	1	72	2.80e-31	134
TRNAR-UCG_2	n-TRtcg4	100.000	73	0	0	1	73	1	73	7.94e-32	135
TRNAL-CAA_1	n-TLcaa1	96.429	84	2	1	1	83	1	84	2.65e-32	137
TRNAR-UCG_3	n-TRtcg4	100.000	73	0	0	1	73	1	73	7.94e-32	135
TRNAR-UCG_4	n-TRtcg4	100.000	73	0	0	1	73	1	73	7.94e-32	135
TRNAL-CAA_2	n-TLcaa1	98.810	84	1	0	1	84	1	84	3.46e-36	150
TRNAR-UCG_5	n-TRtcg4	100.000	51	0	0	1	51	1	51	1.59e-19	95.3
TRNAR-UCG_5	n-TRtcg4	100.000	33	0	0	50	82	41	73	1.61e-09	62.1
TRNAL-CAA_3	n-TLcaa1	98.810	84	1	0	1	84	1	84	3.46e-36	150
TRNAR-UCG_6	n-TRtcg4	100.000	73	0	0	1	73	1	73	7.94e-32	135
TRNAL-CAA_4	n-TLcaa1	98.810	84	1	0	1	84	1	84	3.46e-36	150
TRNAR-UCG_7	n-TRtcg4	100.000	73	0	0	1	73	1	73	7.94e-32	135
TRNAL-CAA_5	n-TLcaa1	98.810	84	1	0	1	84	1	84	3.46e-36	150
TRNAR-UCG_8	n-TRtcg4	100.000	73	0	0	1	73	1	73	7.94e-32	135
TRNAL-CAA_6	n-TLcaa1	97.619	84	2	0	1	84	1	84	1.61e-34	145
