Flnb	FLNA	70.687	2620	703	63	5421	8006	5570	8158	1.47e-146	523
Gm18144	RPL13	84.559	136	16	4	481	612	629	763	2.63e-29	130
Ptprg	PTPRG	90.452	199	8	8	5088	5283	4757	4947	7.75e-65	252
Fezf2	FEZF1	83.398	512	85	0	1315	1826	1085	1596	2.47e-132	475
Cadps	CADPS	80.747	2571	474	13	532	3096	249	2804	0.0	1986
Cadps	CADPS	81.996	1072	164	18	3123	4175	2801	3862	0.0	883
Gm8483	ENO1	77.701	1296	261	18	143	1415	129	1419	0.0	767
Slc4a7	SLC4A7	77.960	2255	474	18	11116	13360	1418	3659	0.0	1389
Lrrc3b	LRRC3B	81.303	829	152	3	1229	2056	87	913	0.0	669
Top2b	TOP2B	79.426	3660	739	14	576	4228	808	4460	0.0	2575
Top2b	TOP2B	75.993	579	110	23	5013	5575	5401	5966	3.64e-71	272
Rarb	RARB	90.071	141	5	6	3022	3155	3569	3707	5.91e-42	174
Gm44469	LOC138654842	95.556	45	1	1	1	45	1	44	3.24e-12	71.3
Nr1d2	NR1D2	85.410	329	48	0	560	888	565	893	2.25e-92	342
Rpl15	RPL15	82.097	620	109	2	164	782	32	650	6.80e-149	529
Nkiras1	LOC138642072	90.196	102	10	0	4196	4297	932	831	1.55e-29	134
Ube2e1	LOC138642072	85.548	429	62	0	382	810	504	932	3.92e-125	449
Gm6781	FDFT1	74.634	1092	258	15	185	1265	393	1476	1.64e-129	464
Ube2e2	LOC138642070	83.812	383	60	2	5122	5503	324	705	2.33e-98	363
Sec24c	SEC24D	72.937	1042	254	26	1607	2634	1131	2158	1.10e-90	337
Gm25328	LOC138660454	91.589	107	9	0	1	107	1	107	9.63e-36	148
Ndst2	NDST1	71.949	1975	493	53	992	2937	646	2588	2.27e-146	521
Camk2g	CAMK2B	78.481	948	194	8	179	1121	659	1601	1.32e-173	612
Gm52168	LOC138654842	100.000	38	0	0	1	38	1	38	2.17e-12	71.3
Vdac2	VDAC1	73.671	828	207	10	175	997	349	1170	2.26e-83	311
Zfp503	ZNF503	90.476	105	8	2	877	980	60	163	1.04e-30	137
Kcnma1	KCNMA1	79.721	3797	702	44	1186	4960	900	4650	0.0	2684
Gm6158	CNOT1	82.781	906	154	2	468	1372	6589	7493	0.0	808
Gm52167	LOC138654842	97.143	35	1	0	1	35	1	35	7.07e-09	60.2
Ppif	PPIF	75.117	426	102	4	228	651	144	567	6.29e-49	196
Cacna1d	CACNA1D	79.786	1306	248	8	629	1920	294	1597	0.0	935
Prkcd	PRKCA	72.672	655	145	26	2014	2651	1116	1753	8.45e-46	187
Pbrm1	PBRM1	75.827	2449	568	24	2087	4523	1647	4083	0.0	1221
Ankrd28	ANKRD28	78.487	3133	657	12	1544	4672	298	3417	0.0	2036
Ankrd28	ANKRD28	91.667	96	6	1	6558	6651	7547	7642	9.09e-29	132
Prrxl1	ALX4	77.124	153	31	4	1760	1911	736	885	3.97e-15	86.1
Gm26228	LOC138677725	93.396	106	7	0	1	106	1	106	1.60e-38	158
Glud1	LOC138665565	81.175	1498	278	3	352	1847	205	1700	0.0	1201
Ldb3	LDB3	81.547	569	105	0	1704	2272	1231	1799	1.08e-130	470
Gm25204	LOC138673559	89.720	107	9	2	1	106	1	106	7.41e-32	135
Nrg3	NRG3	73.263	662	154	18	2131	2775	2289	2944	1.91e-55	220
Gm22823	LOC138677725	100.000	107	0	0	1	107	1	107	9.43e-51	198
Ubb-ps	UBC	85.900	461	65	0	100	560	1733	2193	3.11e-138	492
Ubb-ps	UBC	85.403	459	66	1	100	558	365	822	3.13e-133	475
Ubb-ps	UBC	84.749	459	69	1	100	558	821	1278	3.16e-128	459
Ubb-ps	UBC	84.749	459	69	1	100	558	1277	1734	3.16e-128	459
Bmp4	BMP4	75.889	1294	278	23	440	1725	101	1368	1.89e-179	630
Gm52166	LOC138654842	100.000	35	0	0	1	35	1	35	1.55e-10	65.8
Fbxo34	FBXO34	74.492	443	101	11	2386	2822	1970	2406	3.98e-44	182
Ktn1	KTN1	73.836	451	103	12	3914	4358	3950	4391	7.53e-39	165
Otx2	OTX2	80.222	900	152	8	2045	2943	351	1225	0.0	652
LOC115488448	LOC138677725	98.131	107	2	0	1	107	1	107	2.04e-47	187
Naa30	NAA30	87.638	453	56	0	846	1298	431	883	5.62e-148	527
Gm24316	LOC138660466	92.381	105	8	0	1	105	3	107	2.61e-36	150
Gm8518	CCDC12	80.973	226	42	1	193	417	220	445	1.06e-43	178
n-TLaag8	TRNAL-AAG_255	100.000	82	0	0	1	82	1	82	5.23e-37	152
n-TPagg4	TRNAP-AGG_210	100.000	72	0	0	1	72	1	72	1.61e-31	134
n-TTtgt3	TRNAT-UGU_254	100.000	73	0	0	1	73	1	73	4.55e-32	135
n-TLtag2	TRNAL-AAG_255	95.122	82	4	0	1	82	1	82	2.45e-30	130
n-TTtgt1	TRNAT-UGU_254	97.260	73	2	0	1	73	1	73	9.86e-29	124
